timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,rostam_ea,1,8,53.05
60.000,rostam_ea,2,11,50.19
80.000,rostam_ea,3,7,25.12
90.000,rostam_ea,4,14,48.94
