experiment_id,scenario,strategy,seed,robot_count,robot_id,assigned_tasks,completed_tasks,failed_tasks,approx_distance_m
exp_mixed_stress_ahe_mrta_v3_r5t25_seed13,mixed_stress,ahe_mrta_v3,13,5,robot_1,5,5,0,53.89
exp_mixed_stress_ahe_mrta_v3_r5t25_seed13,mixed_stress,ahe_mrta_v3,13,5,robot_2,2,2,0,15.55
exp_mixed_stress_ahe_mrta_v3_r5t25_seed13,mixed_stress,ahe_mrta_v3,13,5,robot_3,7,7,0,36.42
exp_mixed_stress_ahe_mrta_v3_r5t25_seed13,mixed_stress,ahe_mrta_v3,13,5,robot_4,6,6,0,39.64
exp_mixed_stress_ahe_mrta_v3_r5t25_seed13,mixed_stress,ahe_mrta_v3,13,5,robot_5,5,5,0,35.53
