timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,5,2.64
35.000,ahe_mrta_v3,2,7,1.29
40.000,ahe_mrta_v3,3,7,0.72
45.000,ahe_mrta_v3,4,7,0.27
50.000,ahe_mrta_v3,5,7,0.35
55.000,ahe_mrta_v3,6,6,0.57
60.000,ahe_mrta_v3,7,9,1.50
65.000,ahe_mrta_v3,8,10,1.10
70.000,ahe_mrta_v3,9,9,0.92
75.000,ahe_mrta_v3,10,8,1.00
80.000,ahe_mrta_v3,11,6,0.78
85.000,ahe_mrta_v3,12,5,0.74
90.000,ahe_mrta_v3,13,8,1.05
95.000,ahe_mrta_v3,14,8,0.82
100.000,ahe_mrta_v3,15,8,0.75
105.000,ahe_mrta_v3,16,8,0.94
110.000,ahe_mrta_v3,17,7,0.75
115.001,ahe_mrta_v3,18,6,0.73
120.000,ahe_mrta_v3,19,5,0.79
125.000,ahe_mrta_v3,20,5,0.90
130.000,ahe_mrta_v3,21,5,0.75
135.000,ahe_mrta_v3,22,4,1.38
140.000,ahe_mrta_v3,23,5,0.95
145.000,ahe_mrta_v3,24,6,0.71
150.000,ahe_mrta_v3,25,5,0.42
155.000,ahe_mrta_v3,26,4,0.53
160.000,ahe_mrta_v3,27,4,0.58
165.000,ahe_mrta_v3,28,4,0.37
170.000,ahe_mrta_v3,29,4,0.91
