timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,6,3.79
35.000,ahe_mrta_v3,2,6,0.72
40.000,ahe_mrta_v3,3,6,0.34
45.000,ahe_mrta_v3,4,5,0.54
50.000,ahe_mrta_v3,5,5,0.72
55.000,ahe_mrta_v3,6,5,0.46
60.000,ahe_mrta_v3,7,8,1.66
65.000,ahe_mrta_v3,8,8,0.91
70.000,ahe_mrta_v3,9,7,0.48
75.000,ahe_mrta_v3,10,7,1.33
80.000,ahe_mrta_v3,11,4,0.77
85.000,ahe_mrta_v3,12,4,0.67
90.000,ahe_mrta_v3,13,6,0.78
95.000,ahe_mrta_v3,14,7,1.00
100.000,ahe_mrta_v3,15,7,0.89
105.000,ahe_mrta_v3,16,6,0.83
110.000,ahe_mrta_v3,17,6,0.94
115.000,ahe_mrta_v3,18,5,0.99
120.000,ahe_mrta_v3,19,5,0.90
125.000,ahe_mrta_v3,20,5,0.71
130.000,ahe_mrta_v3,21,5,0.82
135.000,ahe_mrta_v3,22,5,0.53
140.000,ahe_mrta_v3,23,5,0.85
145.000,ahe_mrta_v3,24,5,0.65
150.000,ahe_mrta_v3,25,5,0.90
155.000,ahe_mrta_v3,26,5,0.64
160.000,ahe_mrta_v3,27,4,0.70
165.000,ahe_mrta_v3,28,4,1.14
170.000,ahe_mrta_v3,29,5,0.80
175.000,ahe_mrta_v3,30,6,0.77
180.000,ahe_mrta_v3,31,6,0.69
185.000,ahe_mrta_v3,32,6,0.73
190.000,ahe_mrta_v3,33,5,0.82
195.000,ahe_mrta_v3,34,4,0.56
200.000,ahe_mrta_v3,35,4,0.40
205.000,ahe_mrta_v3,36,4,0.41
210.000,ahe_mrta_v3,37,4,0.55
215.000,ahe_mrta_v3,38,3,0.74
