experiment_id,scenario,strategy,seed,robot_count,robot_id,assigned_tasks,completed_tasks,failed_tasks,approx_distance_m
exp_robot_failure_consensus_dbta_r5t25_seed10,robot_failure,consensus_dbta,10,5,robot_1,5,5,0,36.53
exp_robot_failure_consensus_dbta_r5t25_seed10,robot_failure,consensus_dbta,10,5,robot_2,3,3,0,13.42
exp_robot_failure_consensus_dbta_r5t25_seed10,robot_failure,consensus_dbta,10,5,robot_3,5,5,0,28.15
exp_robot_failure_consensus_dbta_r5t25_seed10,robot_failure,consensus_dbta,10,5,robot_4,7,7,0,41.17
exp_robot_failure_consensus_dbta_r5t25_seed10,robot_failure,consensus_dbta,10,5,robot_5,5,5,0,34.67
