scenario,strategy,fitness_mean,fitness_std,n_seeds
robot_failure,ahe_mrta_v3,0.4880092597387993,0.09573114779676971,500
robot_failure,big_mrta,0.44542266359076454,0.09562085867474714,500
robot_failure,rostam_ea,0.4127386079048817,0.09120204602089999,500
robot_failure,consensus_dbta,0.4862445104376095,0.09685576057664531,500
mixed_stress,ahe_mrta_v3,0.48790182880197963,0.09814331893183967,500
mixed_stress,big_mrta,0.23167554653221484,0.1000178206728024,500
mixed_stress,rostam_ea,0.41121604412707313,0.08694370321904772,500
mixed_stress,consensus_dbta,0.48066612886245236,0.09571099187488621,500
deadline_pressure,ahe_mrta_v3,0.43728692915617,0.08578509693365527,500
deadline_pressure,big_mrta,0.44083543830757216,0.08493657649254435,500
deadline_pressure,rostam_ea,0.4311695735272547,0.0906199403399851,500
deadline_pressure,consensus_dbta,0.43743867105270645,0.08462914966622896,500
