experiment_id,scenario,strategy,robot_count,target_count,seed,timestamp_s,alloc_num,queued_tasks,footprint_bytes
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,85.0,4,19,156
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,90.0,5,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,95.0,6,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,100.0,7,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,105.0,8,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,110.0,9,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,115.0,10,19,156
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,120.0,11,18,152
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,125.0,12,18,152
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,130.0,13,17,148
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,135.0,14,17,148
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,140.0,15,16,144
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,145.0,16,17,148
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,150.0,17,13,132
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,155.0,18,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,160.0,19,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,165.0,20,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,170.0,21,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,175.0,22,10,120
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,205.0,23,6,104
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,270.0,24,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,335.0,25,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed03,deadline_pressure,ahe_mrta_v3,10,50,3,405.0,26,1,84
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,70.0,1,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,75.0,2,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,80.0,3,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,85.0,4,19,156
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,90.0,5,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,95.0,6,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,100.0,7,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,105.0,8,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,110.0,9,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,115.0,10,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,120.0,11,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,125.0,12,18,152
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,130.0,13,15,140
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,135.0,14,15,140
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,140.0,15,12,128
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,145.0,16,10,120
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,150.0,17,11,124
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,155.0,18,10,120
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,160.0,19,10,120
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,165.0,20,10,120
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,170.0,21,10,120
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,205.0,22,5,100
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,215.0,23,5,100
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,270.0,24,3,92
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,280.0,25,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,335.0,26,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,350.0,27,2,88
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,400.0,28,1,84
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed04,deadline_pressure,ahe_mrta_v3,10,50,4,420.0,29,0,80
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,40.0,1,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,45.0,2,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,50.0,3,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,55.0,4,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,60.0,5,20,160
exp_deadline_pressure_ahe_mrta_v3_r10t50_seed05,deadline_pressure,ahe_mrta_v3,10,50,5,65.0,6,20,160
