scenario,strategy,fitness_mean,fitness_std,n_seeds
robot_failure,ahe_mrta_v3,0.48422239975513653,0.09389785950332308,500
robot_failure,big_mrta,0.44542266359076454,0.09562085867474714,500
robot_failure,rostam_ea,0.4115897507533626,0.09053977868884779,500
robot_failure,consensus_dbta,0.4862445104376095,0.09685576057664531,500
mixed_stress,ahe_mrta_v3,0.48745302670016666,0.09473460621018608,500
mixed_stress,big_mrta,0.23167554653221484,0.1000178206728024,500
mixed_stress,rostam_ea,0.4106199068428262,0.09016541993236046,500
mixed_stress,consensus_dbta,0.48066612886245236,0.09571099187488621,500
deadline_pressure,ahe_mrta_v3,0.4379350742832962,0.08615033228563578,500
deadline_pressure,big_mrta,0.44083543830757216,0.08493657649254435,500
deadline_pressure,rostam_ea,0.4270554551046238,0.08967810890440106,500
deadline_pressure,consensus_dbta,0.43743867105270645,0.08462914966622896,500
