experiment_id,scenario,strategy,seed,robot_count,robot_id,assigned_tasks,completed_tasks,failed_tasks,approx_distance_m
exp_robot_failure_ahe_mrta_v3_r5t25_seed07,robot_failure,ahe_mrta_v3,7,5,robot_1,5,5,0,31.41
exp_robot_failure_ahe_mrta_v3_r5t25_seed07,robot_failure,ahe_mrta_v3,7,5,robot_2,3,3,0,13.21
exp_robot_failure_ahe_mrta_v3_r5t25_seed07,robot_failure,ahe_mrta_v3,7,5,robot_3,5,5,0,38.51
exp_robot_failure_ahe_mrta_v3_r5t25_seed07,robot_failure,ahe_mrta_v3,7,5,robot_4,6,6,0,31.55
exp_robot_failure_ahe_mrta_v3_r5t25_seed07,robot_failure,ahe_mrta_v3,7,5,robot_5,6,6,0,29.26
