timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.328,0.010,0,1,0,task_004,0
32.000,robot_2,0.000,-0.000,0,1,0,task_002,0
32.000,robot_3,0.185,0.037,0,1,0,task_005,0
32.000,robot_4,0.121,-0.087,0,1,0,task_003,0
32.000,robot_5,0.329,-0.003,0,1,0,task_006,0
34.000,robot_1,0.953,0.105,0,1,0,task_004,0
34.000,robot_2,-0.472,0.114,0,1,0,task_002,0
34.000,robot_3,0.683,0.407,0,1,0,task_005,0
34.000,robot_4,0.483,-0.608,0,1,0,task_003,0
34.000,robot_5,0.974,-0.025,0,1,0,task_006,0
36.000,robot_1,1.332,0.225,0,1,0,task_004,0
36.000,robot_2,-0.781,0.079,0,1,0,task_002,0
36.000,robot_3,0.963,0.690,0,1,0,task_005,0
36.000,robot_4,0.671,-0.959,0,1,0,task_003,0
36.000,robot_5,1.371,-0.051,0,1,0,task_006,0
38.000,robot_1,1.837,0.311,0,1,0,task_004,0
38.000,robot_2,-0.781,0.079,0,1,0,,0
38.000,robot_3,1.324,1.054,0,1,0,task_005,0
38.000,robot_4,0.915,-1.410,0,1,0,task_003,0
38.000,robot_5,1.878,-0.119,0,1,0,task_006,0
40.000,robot_1,2.355,0.368,0,1,0,task_004,0
40.000,robot_2,-0.781,0.079,0,0,0,,0
40.000,robot_3,1.697,1.418,0,1,0,task_005,0
40.000,robot_4,1.170,-1.865,0,1,0,task_003,0
40.000,robot_5,2.382,-0.256,0,1,0,task_006,0
42.000,robot_1,2.859,0.636,0,1,0,task_004,0
42.000,robot_2,-0.781,0.079,0,0,0,,0
42.000,robot_3,2.067,1.787,0,1,0,task_005,0
42.000,robot_4,1.497,-2.432,0,1,0,task_003,0
42.000,robot_5,2.869,-0.441,0,1,0,task_006,0
44.000,robot_1,3.024,0.953,0,1,0,task_004,0
44.000,robot_2,-0.781,0.079,0,0,0,,0
44.000,robot_3,2.434,2.157,0,1,0,task_005,0
44.000,robot_4,1.697,-2.766,0,1,0,task_003,0
44.000,robot_5,3.342,-0.660,0,1,0,task_006,0
46.000,robot_1,3.113,1.467,0,1,0,task_004,0
46.000,robot_2,-0.781,0.079,0,0,0,,0
46.000,robot_3,2.796,2.532,0,1,0,task_005,0
46.000,robot_4,1.968,-3.211,0,1,0,task_003,0
46.000,robot_5,3.814,-0.883,0,1,0,task_006,0
48.000,robot_1,3.166,1.985,0,1,0,task_004,0
48.000,robot_2,-0.781,0.079,0,0,0,,0
48.000,robot_3,2.988,2.977,0,1,0,task_005,0
48.000,robot_4,2.252,-3.649,0,1,0,task_003,0
48.000,robot_5,4.289,-1.098,0,1,0,task_006,0
50.000,robot_1,3.211,2.496,0,1,0,task_004,0
50.000,robot_2,-0.781,0.079,0,0,0,,0
50.000,robot_3,2.915,3.384,0,1,0,task_005,0
50.000,robot_4,2.543,-4.071,0,1,0,task_003,0
50.000,robot_5,4.751,-1.319,0,1,0,task_006,0
52.000,robot_1,3.267,3.015,0,1,0,task_004,0
52.000,robot_2,-0.781,0.079,0,0,0,,0
52.000,robot_3,2.578,3.764,0,1,0,task_005,0
52.000,robot_4,2.832,-4.504,0,1,0,task_003,0
52.000,robot_5,5.228,-1.530,0,1,0,task_006,0
54.000,robot_1,3.354,3.663,0,1,0,task_004,0
54.000,robot_2,-0.781,0.079,0,0,0,,0
54.000,robot_3,2.146,4.056,0,1,0,task_005,0
54.000,robot_4,2.990,-4.985,0,1,0,task_003,0
54.000,robot_5,5.735,-1.649,0,1,0,task_006,0
56.000,robot_1,3.413,4.047,0,1,0,task_004,0
56.000,robot_2,-0.781,0.079,0,0,0,,0
56.000,robot_3,1.705,4.335,0,1,0,task_005,0
56.000,robot_4,2.895,-5.378,0,1,0,task_003,0
56.000,robot_5,6.250,-1.729,0,1,0,task_006,0
58.000,robot_1,3.509,4.560,0,1,0,task_004,0
58.000,robot_2,-0.781,0.079,0,0,0,,0
58.000,robot_3,1.270,4.622,0,1,0,task_005,0
58.000,robot_4,2.534,-5.736,0,1,0,task_003,0
58.000,robot_5,6.689,-1.859,0,1,0,task_006,0
60.000,robot_1,3.627,5.059,0,1,0,task_004,0
60.000,robot_2,-0.781,0.079,0,0,0,,0
60.000,robot_3,0.847,4.912,0,1,0,task_005,0
60.000,robot_4,2.226,-5.908,0,1,0,task_003,0
60.000,robot_5,6.816,-1.918,0,1,0,task_007,0
62.000,robot_1,3.820,5.648,0,1,0,task_004,0
62.000,robot_2,-0.323,0.106,0,1,0,task_012,0
62.000,robot_3,0.423,5.215,0,1,0,task_005,0
62.000,robot_4,2.262,-5.922,0,1,0,task_008,0
62.000,robot_5,7.143,-2.392,0,1,0,task_007,0
64.000,robot_1,3.887,5.793,0,1,0,,0
64.000,robot_2,0.065,0.132,0,1,0,task_012,0
64.000,robot_3,0.003,5.524,0,1,0,task_005,0
64.000,robot_4,2.497,-6.045,0,1,0,task_008,0
64.000,robot_5,7.294,-2.751,0,1,0,task_007,0
66.000,robot_1,3.949,5.882,0,1,0,task_001,0
66.000,robot_2,0.717,0.175,0,1,0,task_012,0
66.000,robot_3,-0.427,5.818,0,1,0,task_005,0
66.000,robot_4,2.846,-6.431,0,1,0,task_008,0
66.000,robot_5,7.494,-3.232,0,1,0,task_007,0
68.000,robot_1,4.090,6.361,0,1,0,task_001,0
68.000,robot_2,1.106,0.194,0,1,0,task_012,0
68.000,robot_3,-0.918,5.988,0,1,0,task_005,0
68.000,robot_4,3.147,-6.857,0,1,0,task_008,0
68.000,robot_5,7.703,-3.710,0,1,0,task_007,0
70.000,robot_1,4.167,6.877,0,1,0,task_001,0
70.000,robot_2,1.627,0.214,0,1,0,task_012,0
70.000,robot_3,-1.406,6.163,0,1,0,task_005,0
70.000,robot_4,3.451,-7.281,0,1,0,task_008,0
70.000,robot_5,7.924,-4.182,0,1,0,task_007,0
72.000,robot_1,4.237,7.385,0,1,0,task_001,0
72.000,robot_2,2.140,0.221,0,1,2,task_012,0
72.000,robot_3,-1.756,6.530,0,1,0,task_005,0
72.000,robot_4,3.739,-7.672,0,1,0,task_008,0
72.000,robot_5,8.156,-4.640,0,1,0,task_007,0
74.000,robot_1,4.319,7.899,0,1,0,task_001,0
74.000,robot_2,2.661,0.221,0,1,2,task_012,0
74.000,robot_3,-1.905,6.785,0,1,0,task_005,0
74.000,robot_4,3.851,-7.815,0,0,0,,0
74.000,robot_5,8.409,-5.096,0,1,0,task_007,0
76.000,robot_1,4.424,8.410,0,1,0,task_001,0
76.000,robot_2,3.183,0.220,0,1,2,task_012,0
76.000,robot_3,-1.890,6.773,0,1,0,task_010,0
76.000,robot_4,3.990,-7.654,0,1,0,task_011,0
76.000,robot_5,8.680,-5.541,0,1,0,task_007,0
78.000,robot_1,4.556,8.915,0,1,0,task_001,0
78.000,robot_2,3.704,0.219,0,1,2,task_012,0
78.000,robot_3,-1.570,6.389,0,1,0,task_010,0
78.000,robot_4,4.178,-7.170,0,1,0,task_011,0
78.000,robot_5,8.858,-5.807,0,1,0,task_007,0
80.000,robot_1,4.721,9.410,0,1,0,task_001,0
80.000,robot_2,4.226,0.219,0,1,2,task_012,0
80.000,robot_3,-1.168,6.068,0,1,0,task_010,0
80.000,robot_4,4.317,-6.667,0,1,0,task_011,0
80.000,robot_5,8.858,-5.807,0,1,0,task_013,0
82.000,robot_1,4.874,9.767,0,1,0,task_001,0
82.000,robot_2,4.747,0.219,0,1,2,task_012,0
82.000,robot_3,-0.657,5.985,0,1,0,task_010,0
82.000,robot_4,4.471,-6.169,0,1,0,task_011,0
82.000,robot_5,8.545,-5.896,0,1,0,task_013,0
84.000,robot_1,4.887,9.793,0,1,0,task_009,0
84.000,robot_2,5.393,0.219,0,1,2,task_012,0
84.000,robot_3,-0.154,6.076,0,1,0,task_010,0
84.000,robot_4,4.699,-5.565,0,1,0,task_011,0
84.000,robot_5,7.901,-5.916,0,1,0,task_013,0
86.000,robot_1,4.703,9.889,0,1,0,task_009,0
86.000,robot_2,5.782,0.219,0,1,2,task_012,0
86.000,robot_3,0.345,6.230,0,1,0,task_010,0
86.000,robot_4,4.839,-5.203,0,1,0,task_011,0
86.000,robot_5,7.512,-5.909,0,1,0,task_013,0
88.000,robot_1,4.057,9.975,0,1,0,task_009,0
88.000,robot_2,6.436,0.219,0,1,2,task_012,0
88.000,robot_3,0.845,6.379,0,1,0,task_010,0
