experiment_id,scenario,strategy,seed,robot_count,robot_id,assigned_tasks,completed_tasks,failed_tasks,approx_distance_m
exp_mixed_stress_consensus_dbta_r5t25_seed02,mixed_stress,consensus_dbta,2,5,robot_1,5,5,0,62.28
exp_mixed_stress_consensus_dbta_r5t25_seed02,mixed_stress,consensus_dbta,2,5,robot_2,2,2,0,16.85
exp_mixed_stress_consensus_dbta_r5t25_seed02,mixed_stress,consensus_dbta,2,5,robot_3,6,6,0,62.58
exp_mixed_stress_consensus_dbta_r5t25_seed02,mixed_stress,consensus_dbta,2,5,robot_4,6,6,0,36.34
exp_mixed_stress_consensus_dbta_r5t25_seed02,mixed_stress,consensus_dbta,2,5,robot_5,6,6,0,29.50
